latitude,longitude
-2.282.692,-4.328.463
-2.297.681,-4.319.005
-2.286.289,-433.321
-2.284.269,-4.337.692
-2.297.261,-4.339.967
-2.295.345,-4.319.363
-2.292.154,-4.324.372
-2.291.369,-431.904
-2.297.879,-4.319.192
-2.298.311,-4.318.917
-2.300.926,-4.336.647
-2.296.669,-4.318.308
-2.296.154,-4.317.574
-2.293.231,-4.318.323
-2.297.296,-4.335.778
-2.292.706,-4.337.547
-2.298.474,-4.319.573
-2.296.709,-4.318.155
-2.298.366,-4.345.311
-2.290.947,-4.318.931
-2.301.016,-434.408
-2.298.138,-4.322.125
-2.291.063,-4.321.668
-2.300.805,-4.344.048
-2.295.106,-4.318.617
-2.300.253,-4.339.397
-2.296.303,-4.317.468
-2.300.724,-4.328.959
-2.291.074,-4.317.694
-2.291.563,-4.355.586
-2.284.215,-4.336.052
-2.300.611,-4.343.018
-2.292.734,-4.317.297
-2.301.992,-4.346.276
-2.291.636,-4.317.847
-229.243,-4.317.457
-2.298.695,-4.345.694
-2.291.286,-4.323.403
-2.296.631,-4.319.029
-229.033,-4.329.198
-2.296.853,-4.342.719
-2.297.385,-4.318.659
-228.521,-4.347.577
-2.298.685,-4.319.123
-2.297.845,-4.341.687
-2.296.326,-4.333.025
-2.298.113,-4.319.284
-2.298.129,-4.320.227
-2.293.873,-4.325.134
-2.300.537,-4.334.691
-2.288.119,-4.337.463
-2.299.012,-433.793
-2.297.307,-4.341.505
-2.292.207,-4.322.009
-2.297.126,-4.341.359
-2.298.336,-4.319.532
-2.292.717,-4.317.429
-2.299.563,-4.338.259
-2.297.077,-4.335.545
-2.298.688,-4.335.655
-2.296.623,-4.341.155
-2.301.435,-4.344.516
-2.297.183,-4.338.471
-2.298.257,-432.068
-230.086,-4.343.465
-22.984,-431.929
-2.300.775,-4.345.128
-2.300.617,-4.330.954
-2.297.001,-4.338.486
-2.290.913,-432.376
-2.300.501,-4.331.917
-2.294.998,-4.318.666
-2.296.362,-4.319.005
-2.297.746,-432.326
-2.293.551,-4.317.386
-2.300.984,-4.336.166
-2.296.763,-4.339.396
-2.302.264,-4.348.942
-2.295.042,-433.367
-230.084,-4.332.281
-2.300.514,-4.332.851
-2.293.205,-432.419
-2.300.624,-4.333.115
-2.298.311,-4.320.431
-2.296.041,-4.316.655
-2.301.414,-4.330.658
-2.299.304,-433.815
-2.300.279,-4.332.719
-2.296.135,-4.316.707
-2.300.304,-4.332.781
-2.294.141,-4.317.287
-229.643,-431.708
-230.088,-4.342.131
-2.292.072,-4.322.256
-2.297.308,-43.388
-2.298.095,-432.235
-2.300.976,-4.345.334
-229.285,-4.317.573
-2.298.265,-4.319.331
-2.297.606,-434.068
-2.292.823,-4.323.631
-229.676,-4.339.157
-2.284.188,-4.337.417
-2.292.237,-4.324.028
-2.298.094,-4.320.124
-2.297.784,-4.341.623
-2.296.269,-4.341.154
-2.296.786,-4.341.224
-2.301.041,-4.337.202
-229.265,-4.317.789
-2.297.524,-4.318.944
-2.295.256,-4.318.125
-2.284.234,-4.336.673
-2.297.717,-4.319.463
-2.291.423,-4.318.719
-2.297.033,-433.905
-2.295.622,-4.317.407
-2.298.797,-4.348.588
-2.292.346,-4.324.215
-229.844,-4.322.638
-2.296.208,-4.340.285
-2.302.165,-4.348.675
-2.297.522,-431.907
-2.296.604,-4.341.086
-2.294.775,-4.333.572
-2.296.433,-4.338.917
-2.301.496,-4.344.777
-2.296.257,-4.316.786
-2.292.656,-4.356.773
-2.298.551,-4.319.268
-2.296.844,-4.342.735
-2.300.735,-4.332.828
-2.291.785,-4.322.598
-2.301.312,-4.347.177
-2.296.481,-432.196
-2.301.286,-4.346.993
-2.300.898,-4.331.111
-229.276,-4.317.578
-2.296.412,-4.338.454
-2.291.332,-4.321.346
-2.296.773,-4.339.108
-2.293.563,-4.318.057
-2.297.417,-4.341.488
-2.291.253,-4.324.161
-2.300.005,-4.339.382
-2.297.431,-4.341.306
-229.378,-4.317.514
-229.702,-4.338.148
-2.301.505,-4.345.737
-2.296.828,-4.318.914
-2.300.956,-4.333.121
-2.298.963,-4.325.183
-2.296.851,-4.318.481
-2.297.404,-4.318.698
-2.300.832,-4.342.896
-2.297.125,-4.338.292
-2.292.386,-4.322.626
-2.297.364,-431.923
-2.291.569,-4.317.968
-2.298.653,-4.322.817
-228.806,-4.334.975
-2.298.326,-4.321.248
-229.188,-4.325.742
-2.290.016,-4.320.509
-2.293.935,-4.317.886
-2.301.115,-434.746
-2.295.076,-4.335.135
-2.291.841,-4.338.945
-2.292.088,-4.317.807
-2.297.154,-4.318.931
-2.301.061,-4.333.392
-2.297.056,-4.339.495
-2.296.884,-4.349.487
-2.298.823,-4.319.463
-2.300.574,-4.339.555
-229.518,-4.317.685
-2.289.871,-4.322.828
-2.288.833,-4.327.408
-2.301.306,-4.330.481
-229.656,-431.814
-2.296.653,-4.318.791
-2.297.315,-431.878
-2.287.927,-4.334.977
-2.291.428,-4.318.236
-2.296.882,-4.318.823
-2.298.032,-4.322.439
-2.300.682,-4.342.891
-2.300.485,-4.344.237
-2.298.301,-4.319.022
-2.286.847,-4.334.444
-2.295.554,-431.949
-2.293.343,-4.317.853
-2.298.561,-4.319.186
-2.297.045,-4.338.392
-2.296.649,-4.317.685
-2.302.077,-4.345.283
-2.298.429,-4.320.731
-2.292.419,-4.322.134
-2.295.464,-4.319.411
-2.289.989,-432.705
-2.298.219,-4.319.129
-2.284.239,-4.337.441
-23.017,-4.345.211
-2.298.343,-4.323.183
-2.298.306,-4.320.173
-2.295.926,-4.320.217
-2.295.036,-4.333.419
-2.293.607,-4.318.538
-2.296.321,-4.317.757
-2.295.294,-4.319.124
-2.298.237,-4.320.102
-2.295.982,-4.320.172
-2.291.301,-4.318.278
-2.298.255,-4.320.088
-2.298.966,-4.345.419
-2.298.544,-4.319.585
-2.284.195,-4.332.935
-2.298.185,-4.332.656
-2.286.887,-4.334.512
-2.300.621,-4.345.867
-2.294.171,-4.317.861
-2.295.195,-4.317.493
-2.292.299,-4.321.866
-2.293.956,-433.367
-2.295.829,-4.319.601
-2.292.856,-4.317.917
-2.288.724,-4.329.023
-2.292.454,-4.322.918
-2.300.126,-4.334.801
-2.296.759,-4.338.496
-2.284.071,-4.337.341
-2.297.115,-4.338.958
-2.302.879,-4.347.244
-2.297.392,-4.339.512
-2.296.649,-4.319.104
-2.292.911,-4.318.897
-229.717,-4.319.159
-2.298.476,-4.319.344
-2.296.261,-4.317.756
-2.300.971,-4.342.839
-2.297.007,-4.318.737
-2.291.785,-4.322.785
-2.297.193,-4.339.384
-2.298.152,-4.320.786
-2.286.947,-4.335.184
-2.300.324,-4.332.841
-2.298.376,-4.321.323
-2.301.693,-4.345.806
-2.295.373,-4.319.159
-2.300.978,-4.332.383
-2.288.699,-4.330.519
-2.275.061,-43.106
-2.292.719,-4.323.164
-2.296.458,-4.338.498
-2.297.745,-4.339.482
-2.297.715,-431.891
-2.296.289,-43.177
-2.299.922,-4.339.862
-2.291.837,-4.317.973
-230.169,-4.347.851
-2.301.471,-4.344.944
-2.301.093,-4.336.414
-2.297.228,-433.824
-2.292.066,-4.337.022
-2.301.236,-4.345.029
-2.292.405,-4.323.372
-2.299.423,-4.339.875
-2.297.065,-433.816
-2.296.942,-433.979
-2.298.366,-4.321.893
-2.296.515,-4.317.499
-2.293.518,-4.317.714
-2.298.658,-4.319.612
-229.685,-4.317.918
-2.297.811,-4.322.604
-230.095,-4.343.752
-2.288.553,-4.355.313
-229.335,-433.355
-2.298.263,-4.322.436
-2.300.541,-4.332.444
-2.296.655,-4.340.995
-2.302.281,-4.348.518
-2.298.042,-4.349.385
-2.296.899,-4.338.324
-2.298.143,-4.320.868
-2.291.853,-4.364.091
-2.292.283,-4.319.062
-2.290.759,-4.317.374
-2.297.033,-4.339.529
-2.291.944,-4.325.638
-2.295.577,-4.318.193
-2.298.516,-4.319.482
-2.291.242,-4.319.271
-2.295.092,-4.319.177
-2.292.216,-4.318.969
-2.296.592,-4.339.753
-2.297.326,-4.341.163
-2.296.147,-431.755
-2.301.929,-434.841
-2.297.563,-4.318.854
-2.296.041,-4.319.968
-2.297.989,-4.319.892
-2.296.627,-4.318.993
-2.294.865,-4.318.066
-2.297.858,-4.341.592
-2.291.369,-4.318.175
-2.296.851,-4.318.563
-2.297.036,-4.319.007
-2.300.824,-4.332.324
-2.282.727,-4.340.115
-2.306.485,-4.356.287
-2.292.297,-4.324.712
-2.296.622,-4.318.331
-2.292.347,-4.320.874
-2.296.921,-4.338.625
-2.292.246,-4.322.741
-2.297.065,-434.133
-2.289.219,-4.321.974
-2.296.514,-4.333.726
-230.195,-4.347.893
-2.295.004,-4.318.251
-2.290.654,-4.317.398
-2.289.193,-4.328.715
-2.285.583,-4.332.441
-2.301.027,-4.334.098
-2.292.493,-432.205
-2.301.051,-4.343.445
-2.291.285,-4.324.394
-2.291.646,-4.325.994
-2.300.485,-4.333.079
-2.297.493,-4.318.955
-2.300.756,-4.332.637
-2.296.785,-4.318.738
-2.297.553,-4.319.213
-228.946,-4.319.772
-229.698,-4.318.798
-2.301.103,-4.332.249
-2.301.696,-434.789
-2.298.761,-4.335.643
-2.301.327,-4.344.427
-2.292.424,-4.322.675
-2.302.004,-4.345.604
-2.301.024,-4.341.556
-2.293.132,-4.324.762
-2.296.626,-4.338.418
-2.294.772,-4.318.716
-2.298.805,-4.335.647
-2.298.352,-432.039
-2.296.379,-431.745
-2.301.286,-4.346.031
-2.300.445,-4.337.144
-2.301.951,-434.676
-2.298.448,-4.321.162
-2.297.003,-4.338.128
-2.298.331,-4.341.852
-2.300.687,-4.332.162
-2.298.359,-4.320.266
-2.298.444,-4.319.195
-2.292.322,-4.338.682
-2.291.348,-43.193
-2.292.583,-4.321.144
-2.295.344,-4.318.617
-2.299.916,-4.341.742
-2.287.885,-4.328.786
-2.300.241,-4.335.091
-2.302.146,-4.347.356
-2.291.891,-432.356
-229.719,-4.318.748
-2.296.544,-4.317.264
-2.300.297,-43.322
-2.298.541,-4.321.141
-228.247,-4.340.683
-2.301.008,-4.343.969
-2.297.586,-431.906
-230.288,-434.705
-2.301.147,-4.331.881
-2.291.896,-4.325.378
-2.297.308,-4.319.087
-2.291.873,-4.338.685
-2.298.628,-43.194
-2.301.045,-4.332.609
-2.300.956,-4.336.638
-2.298.472,-4.320.186
-2.296.398,-4.317.608
-2.292.598,-4.321.238
-2.298.322,-4.322.535
-2.296.659,-4.318.163
-229.833,-4.320.058
-229.183,-4.318.216
-2.291.789,-4.318.346
-2.294.632,-4.325.737
-2.293.934,-4.317.701
-2.296.711,-4.318.037
-2.295.607,-4.319.314
-2.291.182,-4.324.219
-2.283.747,-4.332.473
-2.295.086,-4.318.331
-2.292.459,-4.322.998
-2.300.667,-4.344.157
-230.289,-4.347.462
-2.293.243,-4.318.096
-2.293.372,-4.334.299
-2.297.077,-4.339.168
-2.296.998,-4.338.207
-2.302.903,-4.347.238
-2.296.172,-4.339.622
-2.297.113,-4.335.848
-2.291.944,-4.320.897
-2.294.736,-4.319.208
-2.300.593,-4.334.786
-2.300.624,-4.334.553
-2.296.567,-4.318.998
-2.289.527,-4.361.624
-2.285.985,-4.336.721
-2.292.858,-4.319.586
-2.298.205,-4.330.054
-2.291.533,-4.322.411
-2.298.438,-431.957
-2.300.368,-4.337.757
-2.291.272,-4.323.608
-2.296.334,-4.341.069
-2.300.644,-4.343.031
-2.300.635,-433.247
-2.298.331,-4.320.614
-2.293.003,-4.317.676
-2.290.997,-4.318.803
-2.294.824,-4.333.155
-2.293.875,-4.335.722
-2.301.406,-4.346.039
-2.298.279,-4.323.047
-2.296.844,-4.339.763
-2.300.306,-4.348.075
-2.298.247,-4.319.064
-2.296.699,-4.339.048
-2.300.237,-4.343.576
-229.325,-4.317.756
-2.293.324,-4.317.706
-2.291.587,-4.321.814
-229.763,-4.322.866
-2.297.032,-4.338.308
-2.298.666,-4.348.924
-2.295.232,-4.317.617
-2.293.109,-4.338.857
-2.293.082,-4.317.388
-2.302.258,-4.347.608
-2.298.091,-4.341.432
-2.301.917,-4.348.452
-2.284.528,-4.336.523
-2.289.965,-4.322.809
-229.283,-4.323.754
-2.291.356,-4.318.561
-2.297.862,-4.318.914
-2.300.248,-4.335.014
-2.292.855,-4.337.599
-2.294.639,-4.335.074
-2.296.226,-4.316.751
-2.283.933,-4.339.691
-2.294.662,-4.335.242
-2.297.018,-4.339.274
-230.116,-4.331.223
-2.297.093,-4.339.409
-2.301.365,-4.347.209
-2.279.676,-4.320.009
-2.293.854,-4.333.453
-230.265,-4.348.989
-2.296.879,-4.341.652
-2.292.855,-4.337.776
-2.289.684,-4.329.577
-22.908,-4.317.246
-230.046,-4.332.911
-229.202,-4.319.126
-2.293.583,-4.319.034
-2.294.345,-4.318.482
-2.292.889,-4.319.783
-2.301.204,-4.338.756
-229.277,-4.324.549
-2.296.243,-431.686
-229.538,-4.317.478
-228.441,-4.330.941
-2.296.475,-4.338.978
-2.293.913,-4.319.434
-2.297.089,-4.338.123
-2.298.261,-4.322.515
-2.293.779,-4.319.441
-2.300.242,-4.332.669
-2.295.231,-4.319.565
-2.291.392,-4.339.637
-2.297.042,-4.318.836
-2.291.552,-4.339.263
-22.966,-4.320.207
-2.301.252,-4.332.213
-2.298.179,-434.159
-2.296.243,-4.340.362
-2.302.634,-434.895
-2.297.969,-4.319.001
-2.298.124,-4.323.399
-2.301.528,-4.345.409
-2.300.448,-4.343.373
-2.298.493,-4.338.272
-2.296.274,-4.320.664
-2.296.474,-4.338.426
-2.297.033,-4.339.115
-2.299.895,-4.336.164
-2.294.303,-4.334.145
-2.300.918,-434.295
-2.298.769,-4.343.243
-2.298.453,-4.319.751
-2.300.348,-4.332.917
-2.297.267,-4.339.732
-2.296.062,-431.708
-2.294.459,-4.318.257
-229.625,-4.317.139
-229.042,-4.318.122
-2.298.891,-4.335.569
-2.291.628,-4.363.672
-2.300.368,-4.332.773
-2.297.109,-4.338.328
-2.296.772,-4.318.286
-2.291.276,-4.317.541
-2.299.927,-4.330.825
-2.297.286,-4.338.141
-2.294.194,-4.320.369
-2.299.966,-4.337.595
-2.301.029,-4.332.084
-2.301.098,-4.345.291
-2.301.734,-4.348.114
-2.288.564,-4.334.642
-2.301.033,-4.332.567
-2.297.053,-4.339.314
-2.297.268,-4.339.078
-2.296.785,-4.318.457
-2.291.132,-4.318.453
-2.296.496,-4.317.487
-2.294.911,-4.318.132
-2.290.676,-4.335.822
-2.300.079,-433.486
-2.300.106,-4.334.905
-2.292.011,-431.792
-2.291.695,-4.320.682
-2.297.072,-4.338.867
-2.300.137,-4.338.426
-2.295.425,-4.319.424
-2.291.745,-4.320.866
-2.292.482,-4.326.168
-2.291.725,-432.637
-2.292.198,-4.318.154
-2.302.069,-434.629
-2.297.684,-4.349.269
-2.298.235,-4.321.658
-2.290.789,-4.330.308
-2.296.358,-431.729
-2.294.089,-4.319.769
-2.300.995,-4.345.228
-2.294.886,-4.318.516
-2.291.927,-4.324.183
-2.296.619,-4.317.837
-2.291.006,-4.324.219
-2.297.388,-4.338.331
-2.290.877,-4.318.565
-2.297.459,-4.319.321
-2.298.524,-4.322.734
-2.292.031,-4.318.307
-2.291.907,-4.324.262
-2.297.224,-4.339.191
-2.301.039,-4.332.863
-2.299.965,-4.341.617
-2.297.796,-4.319.114
-2.301.079,-4.333.472
-2.300.934,-4.335.796
-2.290.748,-4.323.941
-2.298.342,-4.322.787
-2.301.012,-4.332.688
-2.296.393,-4.317.215
-2.297.015,-4.335.706
-2.292.803,-4.323.025
-229.147,-4.319.014
-2.300.773,-4.342.819
-2.296.525,-4.317.467
-2.296.719,-4.318.404
-2.292.275,-4.317.287
-2.300.322,-434.371
-2.296.238,-4.316.945
-2.292.206,-4.317.635
-2.300.794,-4.343.115
-2.297.008,-4.339.516
-2.296.677,-4.340.554
-2.293.487,-4.318.921
-2.294.909,-4.319.362
-229.811,-4.319.495
-2.292.826,-4.320.851
-2.297.228,-4.341.294
-2.297.829,-4.322.394
-2.293.239,-4.318.499
-2.296.284,-4.317.522
-2.296.859,-4.338.987
-2.296.745,-4.318.511
-22.965,-4.317.512
-2.286.945,-4.327.616
-2.297.993,-4.341.536
-2.298.966,-4.335.082
-2.292.337,-4.322.144
-2.296.434,-4.317.767
-2.287.218,-4.326.777
-2.297.209,-4.338.365
-2.297.314,-4.339.574
-2.292.899,-4.323.793
-2.300.004,-433.586
-2.296.344,-4.338.451
-2.300.979,-4.335.737
-2.301.153,-4.332.912
-2.301.315,-4.347.153
-2.296.831,-4.338.493
-2.292.263,-4.322.341
-229.832,-433.825
-2.291.708,-4.317.862
-2.287.904,-433.691
-229.078,-4.317.371
-2.292.274,-4.323.357
-2.292.601,-4.337.579
-2.301.692,-4.349.045
-229.976,-4.338.501
-2.292.872,-4.317.951
-2.291.396,-4.323.312
-2.292.529,-4.323.693
-2.295.444,-4.336.177
-2.292.355,-4.322.582
-2.298.849,-4.363.083
-2.297.266,-4.320.148
-2.296.757,-4.339.642
-2.300.946,-4.335.662
-2.301.599,-4.347.269
-2.290.914,-4.318.709
-2.298.194,-4.322.226
-2.296.981,-4.339.416
-229.242,-4.317.477
-2.297.839,-4.333.011
-2.293.431,-4.317.899
-2.289.454,-4.329.147
-2.298.287,-4.319.855
-2.301.549,-4.330.936
-2.300.874,-4.334.589
-2.297.072,-4.339.329
-2.300.837,-4.342.816
-229.815,-43.194
-2.296.405,-4.318.397
-229.791,-4.321.279
-2.297.135,-4.339.055
-2.294.747,-4.318.514
-2.298.539,-4.319.352
-2.300.207,-4.330.983
-2.288.791,-4.329.645
-2.296.276,-433.984
-2.294.085,-4.317.679
-2.296.576,-4.323.117
-2.300.701,-4.332.856
-229.846,-431.902
-2.296.999,-4.339.178
-2.294.941,-431.849
-2.295.363,-4.317.693
-2.293.885,-4.319.722
-2.296.266,-4.333.045
-2.290.517,-4.326.443
-2.296.378,-4.317.536
-2.297.154,-4.335.783
-2.301.109,-4.332.175
-2.293.279,-4.338.062
-2.290.135,-4.327.592
-2.300.183,-4.348.561
-229.196,-4.323.967
-2.296.966,-4.318.991
-2.293.118,-4.318.013
-2.284.629,-4.337.842
-2.292.816,-4.336.475
-2.300.787,-4.334.434
-2.284.548,-4.337.847
-2.291.742,-4.320.931
-2.302.752,-4.348.917
-2.294.197,-431.968
-2.302.455,-4.348.935
-2.294.739,-4.335.067
-2.292.983,-4.323.324
-2.292.987,-4.324.397
-2.288.417,-4.328.651
-2.285.159,-4.331.516
-229.527,-4.318.212
-2.301.363,-4.329.954
-2.293.884,-4.317.501
-2.292.032,-4.336.315
-2.300.039,-4.343.784
-2.292.779,-431.943
-2.299.037,-4.347.886
-2.297.718,-4.319.465
-2.299.487,-4.325.505
-2.290.752,-4.317.366
-2.287.769,-4.335.768
-2.296.884,-4.339.614
-2.296.329,-4.321.756
-2.290.846,-4.324.079
-2.296.268,-4.339.568
-2.300.812,-4.349.281
-2.296.687,-4.339.724
-229.785,-4.322.847
-230.063,-4.345.877
-2.295.519,-4.317.543
-2.298.722,-4.322.668
-229.007,-4.329.975
-2.296.447,-4.317.903
-2.293.556,-431.745
-2.292.583,-4.339.312
-2.291.875,-4.320.647
-229.844,-4.319.955
-2.292.821,-4.339.311
-2.293.401,-4.332.714
-2.290.093,-4.329.861
-2.301.747,-4.345.146
-230.054,-4.332.961
-2.295.814,-4.335.631
-2.297.116,-4.318.637
-2.298.254,-431.896
-2.297.404,-4.318.959
-2.293.833,-4.333.308
-229.736,-4.318.677
-2.296.191,-4.320.881
-2.301.018,-4.334.263
-2.296.834,-4.317.934
-2.292.301,-4.317.802
-2.296.177,-4.317.031
-2.297.177,-4.340.969
-2.293.569,-4.323.733
-2.290.982,-4.324.581
-2.295.998,-4.342.071
-2.290.986,-4.318.399
-2.290.756,-4.327.747
-2.293.122,-4.319.742
-2.291.544,-434.043
-2.296.694,-4.338.555
-229.167,-4.338.502
-2.297.468,-4.319.044
-2.298.395,-4.320.616
-2.296.743,-4.317.884
-2.296.995,-4.338.892
-2.296.446,-4.317.681
-2.300.818,-4.333.769
-2.299.922,-433.107
-2.292.827,-4.319.394
-2.302.758,-4.355.184
-2.295.648,-4.319.366
-2.294.653,-4.318.371
-2.295.964,-4.334.642
-2.294.713,-4.318.243
-2.297.069,-4.341.316
-229.185,-4.319.067
-2.294.013,-4.336.169
-2.296.525,-4.317.718
-2.294.513,-4.333.665
-229.689,-4.349.311
-2.300.193,-4.342.844
-2.296.786,-431.842
-2.298.622,-4.319.937
-2.302.691,-4.346.393
-2.294.515,-4.318.356
-2.297.457,-4.319.294
-2.293.805,-4.318.126
-2.300.503,-4.332.322
-2.297.615,-4.319.767
-2.300.952,-4.335.801
-2.298.686,-4.346.638
-229.604,-4.317.619
-2.288.537,-4.355.028
-2.301.144,-433.151
-2.296.077,-4.321.774
-2.282.649,-4.330.959
-2.296.145,-4.317.445
-2.300.511,-4.337.197
-2.301.131,-4.331.486
-2.301.085,-4.331.818
-228.338,-4.338.211
-2.293.269,-4.323.834
-2.293.271,-431.757
-2.294.088,-4.318.044
-2.298.006,-4.341.356
-2.296.032,-4.317.937
-2.301.432,-4.347.251
-2.297.119,-4.319.101
-2.297.142,-4.318.693
-2.301.093,-4.333.724
-2.294.156,-4.317.607
-2.298.505,-4.320.387
-2.297.343,-4.318.719
-2.298.317,-4.318.983
-2.296.509,-43.19
-2.288.635,-4.332.119
-2.293.086,-4.334.896
-2.294.844,-4.333.138
-2.292.919,-4.334.471
-2.297.141,-43.413
-2.291.279,-432.082
-2.300.948,-4.332.262
-2.296.444,-4.317.485
-229.584,-4.320.253
-2.296.904,-4.318.863
-2.298.355,-4.322.258
-2.302.031,-4.346.671
-230.031,-4.332.498
-2.291.651,-4.318.833
-229.522,-431.856
-2.289.512,-4.327.024
-2.300.642,-4.344.978
-2.302.041,-4.346.657
-2.292.448,-4.317.728
-2.292.551,-4.323.542
-22.969,-433.585
-2.291.657,-4.319.198
-2.291.537,-4.353.837
-2.292.873,-4.317.331
-2.297.445,-4.341.208
-2.293.187,-4.336.856
-2.291.509,-4.327.193
-2.297.045,-4.338.504
-2.300.885,-4.344.398
-2.297.847,-4.319.033
-2.293.955,-4.317.846
-2.288.995,-4.329.004
-2.291.541,-4.320.511
-2.296.618,-4.317.867
-229.236,-4.356.272
-2.291.037,-4.317.665
-2.297.528,-4.341.168
-2.297.804,-4.341.708
-2.297.126,-4.339.713
-2.300.622,-4.332.691
-2.291.346,-4.323.313
-2.291.674,-4.340.506
-2.286.749,-4.330.973
-2.297.502,-4.318.894
-2.284.187,-4.340.335
-2.296.537,-4.317.382
-2.291.477,-4.324.132
-2.296.462,-4.319.061
-2.291.497,-4.323.145
-2.289.885,-4.329.141
-2.296.977,-4.339.551
-2.300.825,-4.344.243
-2.299.985,-4.334.475
-2.292.816,-4.323.088
-229.139,-431.889
-229.514,-4.318.305
-2.296.669,-4.317.655
-2.302.667,-4.347.413
-2.293.951,-4.332.369
-2.295.854,-4.319.946
-2.293.382,-4.324.389
-2.290.257,-4.335.438
-2.297.361,-4.322.774
-2.294.103,-4.325.026
-2.298.162,-4.318.907
-229.455,-433.409
-2.294.734,-4.318.229
-2.301.325,-4.345.927
-2.299.932,-4.338.593
-2.296.378,-4.322.072
-230.057,-4.334.843
-2.301.079,-4.330.648
-2.300.575,-4.343.212
-2.297.369,-4.341.136
-230.083,-4.332.034
-2.291.614,-431.856
-2.294.524,-4.325.424
-2.297.091,-4.339.275
-229.749,-4.318.973
-22.938,-4.319.634
-2.301.017,-4.334.258
-2.297.168,-4.338.454
-2.290.112,-4.324.614
-2.300.894,-4.334.488
-230.125,-4.331.432
-2.298.279,-4.319.911
-2.297.481,-4.319.269
-2.292.462,-4.317.762
-22.968,-4.318.761
-2.300.537,-4.332.638
-2.291.075,-431.849
-2.296.372,-4.317.142
-2.296.408,-432.197
-2.302.209,-4.347.292
-2.292.509,-4.319.095
-2.297.305,-4.339.734
-2.299.507,-4.325.521
-2.289.841,-4.318.197
-2.298.275,-4.320.061
-2.295.213,-4.318.901
-2.298.203,-4.319.398
-2.298.373,-4.319.389
-2.293.186,-4.336.957
-2.297.603,-4.319.113
-2.298.327,-4.320.227
-2.295.736,-4.320.191
-2.292.641,-4.319.133
-2.296.943,-4.339.221
-2.296.892,-4.339.272
-2.297.284,-4.319.021
-2.298.596,-4.319.118
-2.294.913,-4.318.788
-2.289.224,-4.321.973
-2.290.764,-4.322.247
-2.299.532,-4.340.705
-2.298.043,-4.321.813
-2.295.961,-4.318.609
-2.296.903,-4.339.204
-2.296.797,-4.318.558
-2.300.274,-4.330.945
-2.300.065,-4.332.503
-2.292.342,-4.317.436
-2.291.709,-4.322.642
-2.294.919,-4.318.874
-2.300.729,-4.333.036
-230.236,-4.347.638
-2.295.587,-4.317.556
-2.297.008,-4.339.256
-2.298.073,-4.319.066
-2.291.994,-4.317.616
-2.296.975,-4.341.556
-2.291.649,-4.322.386
-2.294.951,-4.338.392
-2.296.356,-4.317.944
-2.291.871,-4.318.317
-2.289.459,-4.322.164
-2.295.044,-4.338.252
-2.293.574,-4.324.169
-2.289.271,-4.334.587
-2.298.368,-4.319.067
-229.134,-4.321.166
-2.294.569,-4.318.312
-2.295.551,-4.318.153
-2.292.031,-431.927
-2.299.928,-4.340.302
-2.297.402,-4.320.593
-2.293.884,-4.317.206
-2.297.662,-431.923
-229.665,-4.338.524
-228.134,-4.320.381
-2.294.416,-4.318.916
-2.298.356,-4.319.597
-2.297.039,-4.318.485
-2.294.412,-4.316.039
-2.286.568,-4.336.219
-2.291.359,-4.318.593
-2.291.483,-4.318.223
-229.669,-4.318.731
-2.301.024,-4.332.477
-2.297.272,-4.319.205
-2.298.176,-4.322.311
-2.291.501,-4.319.077
-2.291.188,-4.326.996
-2.290.935,-4.317.626
-229.844,-4.319.901
-2.297.831,-4.322.309
-2.298.132,-4.319.335
-2.280.311,-4.320.283
-2.296.801,-4.339.766
-2.296.524,-4.318.765
-2.291.531,-4.318.208
-2.291.892,-4.318.072
-2.288.287,-4.326.459
-2.301.402,-4.330.548
-2.292.367,-4.322.554
-2.298.171,-4.322.273
-2.296.438,-4.317.867
-2.296.372,-4.338.485
-230.278,-4.350.452
-2.298.792,-431.926
-2.298.264,-4.322.243
-2.296.312,-4.316.857
-2.292.204,-4.322.115
-2.296.561,-4.318.065
-229.812,-4.321.939
-2.296.562,-4.319.122
-2.295.604,-4.320.042
-2.292.065,-431.786
-2.289.111,-4.329.493
-2.289.894,-4.319.041
-2.295.449,-4.318.662
-2.297.176,-4.338.916
-2.294.709,-4.318.522
-2.300.222,-4.342.933
-2.294.964,-4.319.207
-2.296.981,-4.318.846
-2.298.673,-4.319.484
-2.292.042,-4.320.924
-229.192,-4.318.104
-230.026,-4.334.014
-2.300.037,-4.330.872
-2.297.396,-431.873
-229.638,-4.317.539
-2.296.536,-4.318.072
-2.299.175,-4.335.273
-2.302.425,-4.345.832
-2.300.874,-4.336.725
-2.298.333,-4.320.991
-2.298.418,-4.322.537
-2.296.709,-4.318.336
-2.302.174,-4.346.657
-23.003,-433.462
-2.297.882,-4.319.045
-2.297.881,-4.318.972
-2.298.241,-4.319.907
-2.297.748,-431.895
-22.919,-4.318.946
-2.300.633,-433.508
-2.296.936,-4.338.925
-2.297.521,-4.349.442
-2.291.776,-4.317.771
-2.296.383,-431.782
-229.822,-4.320.005
-2.300.987,-4.343.659
-229.376,-4.317.651
-2.297.222,-4.318.694
-2.297.206,-4.341.186
-2.296.645,-4.338.604
-2.300.778,-4.332.636
-229.751,-4.322.901
-2.299.356,-4.343.349
-2.296.635,-4.317.935
-2.297.187,-4.339.281
-2.298.163,-4.320.016
-2.300.068,-4.339.437
-2.297.028,-4.318.319
