latitude,longitude
-229.821,-4.319.923
-2.298.503,-4.320.625
-2.298.525,-4.320.481
-2.296.423,-4.317.949
-2.296.031,-4.321.159
-2.297.034,-4.329.834
-2.294.958,-4.318.098
-2.298.698,-4.319.295
-2.298.353,-4.319.422
-229.158,-4.317.566
-2.301.681,-434.598
-2.298.268,-4.321.833
-2.293.378,-4.319.859
-2.297.775,-4.323.313
-2.298.207,-4.320.462
-2.297.668,-4.323.201
-2.296.687,-431.836
-2.294.446,-4.316.261
-2.298.454,-4.319.895
-2.298.359,-4.321.958
-2.291.157,-4.317.766
-2.297.178,-4.339.226
-2.293.576,-431.753
-2.296.662,-4.318.885
-2.296.169,-4.317.568
-2.294.442,-4.318.357
-2.301.084,-4.334.169
-2.301.058,-4.334.071
-230.097,-4.334.209
-2.298.505,-4.320.084
-229.832,-4.320.007
-2.296.972,-431.799
-2.292.511,-4.317.307
-2.297.435,-4.318.937
-2.298.062,-4.319.141
-229.799,-432.258
-229.147,-4.318.631
-2.297.484,-4.318.711
-2.298.494,-4.319.087
-2.298.591,-4.320.128
-2.298.165,-4.318.953
-229.734,-4.318.621
-2.294.388,-4.318.126
-2.294.023,-4.317.995
-229.855,-4.323.053
-2.298.195,-4.319.189
-229.841,-4.324.107
-2.299.189,-432.325
-2.298.415,-4.320.738
-2.296.869,-431.825
-2.297.187,-43.187
-2.298.684,-4.320.925
-2.300.678,-4.335.017
-2.298.362,-4.319.045
-2.297.052,-4.318.807
-2.298.405,-4.322.371
-2.296.735,-4.318.582
-2.298.574,-4.319.723
-2.298.525,-4.319.614
-2.296.374,-4.322.129
-2.298.281,-4.324.237
-2.298.441,-43.205
-2.298.572,-4.318.899
-2.298.685,-4.318.861
-2.291.671,-4.323.046
-2.296.429,-4.317.585
-230.274,-4.346.699
-2.294.819,-4.316.285
-2.298.545,-4.321.184
-2.295.534,-4.319.362
-2.298.119,-4.323.673
-2.297.267,-4.318.556
-2.295.594,-431.835
-2.298.262,-4.319.819
-2.298.499,-4.320.483
-2.295.793,-4.318.197
-2.298.497,-432.045
-2.298.484,-4.320.329
-2.298.418,-4.320.349
-2.298.491,-4.320.355
-229.651,-4.317.945
-2.295.695,-4.320.294
-229.386,-4.320.568
-2.298.192,-4.319.143
-2.298.567,-431.952
-230.097,-4.336.221
-2.291.886,-432.668
-2.292.284,-4.317.644
-2.300.562,-4.332.815
-2.298.191,-4.319.366
-2.297.434,-431.883
-2.300.492,-4.330.445
-2.298.602,-4.320.751
-2.296.082,-4.316.616
-229.756,-4.323.075
-229.638,-4.317.137
-2.295.963,-4.317.102
-229.769,-4.318.838
-2.298.235,-4.324.113
-2.298.241,-4.323.959
-2.301.163,-4.339.148
-2.298.617,-4.322.267
-2.300.529,-4.336.863
-2.293.191,-431.785
-2.298.176,-4.320.426
-2.296.035,-4.317.091
-229.447,-4.318.328
-2.295.735,-4.318.212
-2.293.582,-4.319.833
-2.298.261,-4.322.565
-2.291.868,-4.318.693
-2.296.566,-4.318.712
-2.297.436,-4.318.965
-2.296.158,-4.317.413
-2.298.646,-4.319.866
-2.291.517,-4.318.832
-2.298.626,-4.319.006
-2.298.528,-4.320.506
-2.293.897,-4.320.634
-2.296.464,-4.318.991
-2.294.047,-4.320.417
-2.294.664,-4.320.317
-2.296.681,-431.782
-2.294.352,-4.320.531
-2.296.512,-4.317.608
-2.298.501,-4.319.061
-2.295.193,-4.316.765
-2.298.226,-4.319.391
-2.298.499,-4.322.166
-2.291.885,-4.318.178
-2.291.549,-4.319.011
-2.298.071,-4.322.171
-2.291.183,-4.318.337
-2.291.043,-4.317.339
-2.291.616,-4.317.613
-2.296.656,-4.318.714
-2.296.205,-431.768
-2.293.273,-4.318.101
-2.297.759,-4.318.928
-2.297.424,-4.322.776
-2.298.303,-4.319.187
-2.295.763,-4.320.449
-2.294.804,-4.318.472
-229.424,-4.319.298
-2.296.223,-4.317.281
-2.297.644,-4.323.103
-2.298.683,-4.321.121
-2.284.075,-4.332.618
-2.298.201,-4.319.471
-2.300.814,-4.342.855
-2.298.457,-4.320.042
-2.297.766,-4.319.342
-2.297.011,-4.318.822
-229.842,-432.112
-2.298.452,-4.319.391
-2.298.598,-431.974
-2.296.135,-4.317.261
-2.296.447,-4.319.011
-2.298.206,-4.318.994
-2.296.311,-4.317.609
-2.298.543,-4.320.644
-2.298.593,-4.320.539
-2.298.611,-4.320.631
-2.295.293,-4.319.251
-2.298.618,-4.320.637
-2.295.518,-4.319.846
-2.298.021,-431.928
-2.297.625,-431.895
-2.296.052,-4.317.468
-2.296.687,-43.182
-2.297.007,-4.318.896
-2.294.428,-4.318.378
-2.301.351,-4.339.146
-2.295.955,-4.316.566
-2.296.335,-4.317.684
-2.296.463,-4.317.581
-2.293.675,-4.319.398
-2.296.734,-4.318.163
-2.298.357,-4.322.611
-2.294.973,-4.319.226
-2.299.076,-4.322.911
-2.296.514,-4.317.247
-2.291.926,-4.317.671
-2.296.888,-4.318.975
-2.298.575,-4.319.156
-2.291.344,-4.318.495
-2.298.122,-4.319.989
-2.294.622,-4.333.605
-2.294.806,-4.333.549
-2.298.528,-4.320.523
-229.448,-431.865
-2.298.567,-4.320.828
-2.290.304,-4.318.238
-2.299.315,-4.330.206
-2.291.989,-431.881
-2.298.578,-4.318.971
-2.297.113,-4.318.415
-2.298.192,-4.319.417
-2.296.507,-4.317.459
-2.298.322,-4.319.993
-2.298.309,-4.322.447
-2.298.265,-4.322.536
-2.292.202,-431.814
-2.301.079,-4.329.422
-2.295.237,-4.317.937
-229.471,-4.318.388
-230.167,-4.345.292
-2.298.274,-4.319.557
-2.296.709,-431.802
-2.296.694,-4.318.869
-2.298.128,-4.320.028
-2.298.382,-4.319.717
-229.775,-4.319.235
-2.298.393,-4.320.171
-2.297.761,-4.319.116
-2.298.555,-4.319.969
-2.298.335,-4.320.961
-2.297.366,-432.282
-2.298.029,-4.320.003
-2.298.456,-4.320.497
-2.299.743,-4.323.927
-2.298.314,-4.321.085
-2.298.516,-4.319.089
-2.296.368,-43.175
-229.213,-4.317.946
-2.292.516,-4.317.858
-2.296.337,-4.321.946
-2.299.955,-433.405
-230.106,-4.335.568
-2.298.358,-4.319.523
-2.291.113,-4.318.704
-2.296.585,-4.329.075
-229.829,-4.319.853
-2.292.305,-4.317.445
-2.298.329,-4.321.148
-2.298.493,-4.321.081
-2.298.448,-431.941
-2.298.436,-4.319.391
-2.283.999,-4.329.774
-2.298.181,-4.319.263
-2.291.563,-4.318.976
-2.298.346,-4.320.305
-229.334,-4.317.945
-2.296.762,-4.318.948
-229.827,-4.320.059
-2.298.652,-4.319.288
-2.297.143,-4.319.134
-2.292.296,-432.293
-2.296.548,-432.319
-2.292.126,-4.323.475
-2.292.355,-4.318.969
-2.298.153,-4.319.111
-2.297.847,-4.319.174
-2.298.192,-4.319.318
-2.294.231,-4.319.114
-2.296.784,-4.318.576
-2.297.932,-4.318.993
-2.295.724,-4.318.058
-2.291.264,-431.831
-2.296.958,-4.318.888
-2.297.085,-4.318.576
-2.298.243,-4.321.329
-2.298.221,-4.319.538
-2.298.406,-4.320.895
-2.298.406,-4.319.391
-2.297.876,-4.318.846
-2.291.762,-4.317.712
-2.289.358,-4.339.862
-2.296.888,-431.821
