host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
100%,f,2.0,-22.983.762.512.756.100,-4.321.814.626.639.370,t,Serviced apartment,Entire home/apt,7,2.0,2.0,7.0,Couch,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Laptop friendly workspace"",Crib,""Hot water"",""Luggage dropoff allowed"",Other,""Paid parking on premises""}",,$329.00,,,"$1,500.00",$200.00,6,$50.00,2,30,t,10,83.0,9.0,9.0,8.0,8.0,10.0,8.0,f,strict_14_with_grace_period,f,2,0.13
100%,f,2.0,-22.981.557.796.887,-4.320.011.514.946.520,f,Apartment,Entire home/apt,8,2.5,3.0,8.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Step-free access"",""Wide entryway"",Other}",,$333.00,,"$2,000.00",$500.00,$200.00,5,$50.00,4,380,t,6,76.0,8.0,7.0,9.0,10.0,9.0,7.0,f,strict_14_with_grace_period,t,1,0.08
89%,f,1.0,-22.974.237.779.015.100,-4.318.792.200.143.990,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Handheld shower head""}",,$139.00,,,,$170.00,1,$0.00,2,50,t,188,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,2.56
100%,t,1.0,-2.298.619.649.385.690,-4.319.862.431.018.170,t,Apartment,Entire home/apt,4,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private living room"",""Window guards"",""Room-darkening shades"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide entryway"",""Mini fridge"",""Smart TV"",""DVD player"",""Rain shower"",""Sound system"",""Gas oven"",Printer,""Breakfast table"",""Espresso machine"",""Convection oven"",Netflix,""Memory foam mattress"",""Fax machine"",""Wine cooler"",""En suite bathroom"",""Walk-in shower"",""Bedroom comforts"",""Bathroom essentials""}",,$333.00,,"$19,355.00","$2,199.00",$396.00,1,$0.00,1,365,t,41,99.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,t,1,0.85
83%,f,4.0,-2.296.279.122.433.910,-43.168.650.349.600.200,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",Washer}",,$449.00,,,$700.00,$100.00,1,$0.00,5,15,t,0,,,,,,,,f,strict_14_with_grace_period,t,4,
,f,7.0,-2.295.528.821.639.290,-4.320.008.966.538.680,f,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher""}",,$391.00,,,,,1,$0.00,5,1125,t,0,,,,,,,,f,flexible,f,7,
,f,7.0,-2.295.976.294.999.840,-4.320.185.766.544.730,t,Apartment,Private room,1,1.0,1.0,2.0,Real Bed,{},,$491.00,,,,,1,$0.00,5,30,t,0,,,,,,,,f,flexible,f,7,
,f,2.0,-2.294.475.397.982.130,-431.824.441.767.315,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events""}",,$132.00,$905.00,"$2,079.00",,$150.00,2,$60.00,3,30,t,15,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,0.21
100%,f,1.0,-2.297.644.149.227.860,-4.318.954.097.175.250,f,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$286.00,,,"$1,000.00",$100.00,4,$0.00,3,1125,t,25,93.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,1,0.32
100%,f,1.0,-22.970.492.442.299.100,-4.335.751.947.164.630,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",Waterfront,""Lake access"",""Handheld shower head""}",,$464.00,"$2,903.00","$9,675.00","$1,935.00",$271.00,2,$213.00,1,90,t,14,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,1,0.49
,f,1.0,-2.292.121.418.194.250,-4.323.900.118.704.680,t,Apartment,Entire home/apt,4,1.5,2.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$581.00,"$5,805.00","$13,545.00",,$77.00,3,$387.00,1,1825,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
,f,10.0,-22.997.594.814.089.500,-4.338.347.071.282.860,t,House,Shared room,10,3.0,1.0,10.0,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",Breakfast,""Suitable for events""}",,$74.00,,,,,1,$65.00,2,1125,t,6,87.0,9.0,8.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,5,0.12
100%,f,1.0,-2.298.700.369.007.870,-4.319.664.947.414.500,t,Serviced apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Babysitter recommendations"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$406.00,"$2,477.00","$10,836.00",$968.00,$155.00,2,$155.00,2,90,t,175,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,2.34
,f,10.0,-22.997.916.149.193.900,-43.383.610.340.058.600,t,House,Shared room,5,3.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast}",,$74.00,,,,,1,$65.00,2,1125,t,6,90.0,10.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,f,5,0.15
67%,f,3.0,-2.292.955.498.663.360,-4.319.463.965.569.170,f,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",,$54.00,$450.00,"$1,700.00",,,1,$25.00,2,1125,t,75,95.0,9.0,9.0,10.0,10.0,9.0,10.0,f,flexible,f,3,01.03
,f,10.0,-22.999.014.830.738.700,-43.382.769.225.173.500,t,House,Shared room,1,3.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Suitable for events"",Essentials}",,$74.00,,,,,1,$65.00,2,1125,t,4,100.0,8.0,8.0,10.0,10.0,8.0,9.0,f,strict_14_with_grace_period,f,5,0.05
100%,f,17.0,-22.981.482.659.186.900,-43.217.574.268.811.100,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$356.00,"$3,390.00",,$0.00,$130.00,2,$100.00,3,365,t,2,70.0,9.0,7.0,7.0,8.0,9.0,8.0,f,strict_14_with_grace_period,f,5,0.04
90%,f,4.0,-22.968.064.019.054.600,-43.185.613.498.671.200,t,Apartment,Entire home/apt,8,2.0,4.0,8.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Elevator,""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron}",,$902.00,"$6,000.00","$20,000.00",$400.00,$150.00,5,$250.00,1,1125,t,1,80.0,8.0,8.0,10.0,10.0,10.0,8.0,f,strict_14_with_grace_period,f,4,0.04
,f,1.0,-22.959.591.012.981.900,-43.206.120.862.391.300,t,Apartment,Entire home/apt,4,3.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,Washer}",,"$1,161.00",,,,,1,$0.00,7,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
0%,f,1.0,-2.299.023.329.238.670,-4.335.242.053.173.520,f,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",,"$1,355.00",,,,,1,$0.00,1,1125,t,5,90.0,10.0,7.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,1,0.18
90%,f,3.0,-22.943.283.925.318.600,-4.320.431.177.166.320,t,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",,$221.00,,"$4,500.00",,$100.00,2,$100.00,3,60,t,34,93.0,9.0,9.0,10.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,3,0.47
100%,f,2.0,-2.298.788.067.452.420,-4.319.303.961.327.750,t,Apartment,Entire home/apt,9,3.0,3.0,9.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$348.00,,,"$1,500.00",$200.00,8,$50.00,2,60,t,10,60.0,5.0,6.0,8.0,8.0,10.0,5.0,f,strict_14_with_grace_period,f,2,0.15
,f,4.0,-2.290.584.339.984.720,-4.340.679.629.464.590,t,House,Private room,16,7.0,1.0,10.0,Real Bed,"{TV,Kitchen,""Free parking on premises"",""Family/kid friendly""}",,$120.00,,,"$1,000.00",,1,$60.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,4,
,f,4.0,-2.290.721.330.615.730,-4.340.724.507.582.440,t,Chalet,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,""Free parking on premises"",""Smoking allowed"",Breakfast,""Family/kid friendly"",""Suitable for events"",""First aid kit"",""24-hour check-in"",Hangers}",,$201.00,,,,,1,$0.00,3,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,4,
,f,4.0,-2.290.602.488.320.310,-4.340.892.853.680.950,t,House,Private room,3,1.0,1.0,3.0,Real Bed,"{TV,Kitchen,""Free parking on premises"",""Smoking allowed"",""Family/kid friendly"",""Suitable for events""}",,$252.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,4,
,f,4.0,-2.290.617.526.961.770,-4.340.834.853.005.010,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Kitchen,""Free parking on premises"",""Smoking allowed"",""Family/kid friendly"",""Suitable for events""}",,$201.00,,,,,1,$0.00,1,1125,t,0,,,,,,,,f,strict_14_with_grace_period,f,4,
0%,f,1.0,-228.783.527.007.186,-4.347.712.602.452.980,t,House,Private room,2,,1.0,1.0,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Washer}",,$151.00,"$1,050.00","$4,500.00",,,1,$0.00,2,14,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
100%,t,3.0,-2.294.969.008.525.220,-4.318.553.269.552.720,t,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Window guards"",""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Host greets you"",""Paid parking on premises""}",,$201.00,,,$0.00,$150.00,2,$40.00,2,65,t,157,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,3,2.13
100%,f,3.0,-2.297.863.242.435.440,-4.319.001.203.951.430,t,Apartment,Entire home/apt,7,3.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Washer,""Fire extinguisher"",Essentials,""Hair dryer"",""Hot water"",""Host greets you""}",,$395.00,"$13,197.00","$28,592.00",$880.00,$264.00,6,$88.00,3,90,t,0,,,,,,,,f,strict_14_with_grace_period,f,3,
,f,2.0,-2.291.327.168.696.830,-4.318.216.652.118.360,t,Apartment,Entire home/apt,4,,1.0,1.0,Real Bed,{},,$399.00,,,,,1,$100.00,11,365,t,0,,,,,,,,f,flexible,f,2,
80%,f,2.0,-2.295.506.424.094.590,-4.317.513.823.579.450,t,Apartment,Entire home/apt,2,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Self check-in"",""Building staff"",""Hot water""}",,$774.00,"$3,870.00","$11,610.00","$1,935.00",$194.00,3,$116.00,3,1000,t,2,100.0,10.0,8.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,0.17
100%,f,2.0,-22.975.486.285.711.700,-4.319.008.521.494.200,t,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),""Other pet(s)"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}",,$101.00,$560.00,"$1,400.00",$500.00,$150.00,1,$50.00,5,90,t,17,86.0,10.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,t,2,0.22
100%,f,2.0,-22.974.949.853.421.400,-4.318.883.359.835.310,t,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",Doorman,Breakfast,""Pets live on this property"",Dog(s),""Other pet(s)"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",""Hair dryer"",""Hot water"",""Host greets you""}",,$201.00,,"$1,600.00",$450.00,$150.00,1,$50.00,3,1125,t,20,94.0,9.0,9.0,10.0,10.0,10.0,9.0,f,moderate,t,2,0.26
100%,t,2.0,-22.970.777.384.066.300,-4.318.481.663.852.530,t,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",Beachfront}",,$259.00,,,,,2,$50.00,2,1125,t,93,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,2,1.3
50%,f,4.0,-22.965.620.722.590.800,-4.317.633.365.836.890,t,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,Internet,Doorman,Elevator,""Buzzer/wireless intercom""}",,$577.00,,,,,1,$0.00,1,30,t,6,96.0,8.0,8.0,10.0,10.0,10.0,8.0,f,strict_14_with_grace_period,f,4,0.08
50%,f,4.0,-22.965.105.066.926.300,-431.764.236.508.568,t,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Air conditioning"",Doorman,Elevator}",,$577.00,,,,,1,$0.00,1,30,t,17,94.0,9.0,9.0,9.0,9.0,10.0,9.0,f,strict_14_with_grace_period,f,4,0.22
50%,f,4.0,-22.964.742.683.253.600,-4.317.554.733.851.630,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom""}",,$577.00,,,,,1,$0.00,1,30,t,9,98.0,10.0,10.0,10.0,9.0,10.0,9.0,f,strict_14_with_grace_period,f,4,0.12
100%,t,2.0,-22.983.715.592.038.300,-4.319.458.502.850.020,t,Apartment,Entire home/apt,7,2.0,3.0,4.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Changing table"",""Children’s books and toys"",""Window guards"",""Babysitter recommendations"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Host greets you""}",,$372.00,,,$500.00,$135.00,2,$90.00,2,27,t,42,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,2,0.58
96%,f,4.0,-2.298.158.695.428.940,-4.319.478.733.959.310,t,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Essentials}",,$139.00,,,$500.00,$100.00,2,$35.00,4,365,t,86,93.0,10.0,9.0,9.0,10.0,9.0,9.0,f,strict_14_with_grace_period,f,4,1.11
100%,f,1.0,-22.965.282.555.226.100,-4.319.076.667.944.660,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Well-lit path to entrance"",""Step-free access"",""Accessible-height bed"",""Step-free access"",""Host greets you"",""Handheld shower head""}",,$348.00,"$1,400.00","$2,500.00",$500.00,$150.00,3,$100.00,7,90,t,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,f,1,0.17
100%,f,3.0,-2.297.067.462.796.070,-43.189.217.268.908.600,t,Condominium,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,""First aid kit"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$170.00,$750.00,"$1,200.00",,$30.00,1,$40.00,2,60,t,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,f,3,0.13
100%,f,2.0,-22.963.560.904.332.800,-4.317.930.699.462.970,t,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$194.00,,,$387.00,$174.00,2,$77.00,3,90,t,6,92.0,10.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,0.08
100%,f,5.0,-229.169.487.135.445,-4.319.210.894.948.470,t,House,Private room,1,0.0,1.0,1.0,Real Bed,"{""Cable TV"",Wifi,Kitchen,""Free street parking"",Essentials,""Lock on bedroom door"",""Host greets you""}",,$43.00,$100.00,$300.00,$0.00,$40.00,1,$0.00,2,10,t,8,100.0,9.0,9.0,10.0,9.0,8.0,9.0,f,moderate,t,5,0.11
50%,f,1.0,-2.300.531.484.991.200,-433.113.617.395.289,t,Bed and breakfast,Private room,6,1.0,1.0,6.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Smoking allowed"",Breakfast,""Family/kid friendly"",""Suitable for events"",Washer}",,$159.00,"$1,120.00","$4,800.00",$0.00,$0.00,1,$70.00,1,365,t,0,,,,,,,,f,strict_14_with_grace_period,f,1,
50%,f,2.0,-2.297.809.706.257.290,-4.319.266.071.630.980,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""translation missing: en.hosting_amenity_49""}",,$302.00,"$2,000.00","$10,000.00",,,1,$100.00,4,10,t,16,97.0,10.0,10.0,9.0,10.0,10.0,9.0,f,moderate,f,2,0.21
100%,t,2.0,-22.966.531.891.873.800,-43.179.787.783.062,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",,$128.00,,,,,1,$0.00,2,1125,t,101,95.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,2,1.3
100%,f,3.0,-22.921.137.314.423.300,-43.186.032.660.665.100,t,House,Private room,3,1.0,1.0,3.0,Real Bed,"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}",,$348.00,,,,,2,$50.00,2,1125,t,5,90.0,8.0,9.0,10.0,9.0,9.0,8.0,f,flexible,t,3,0.07
100%,f,3.0,-2.292.180.441.110.230,-43.186.020.745.059.100,t,House,Private room,3,1.0,1.0,3.0,Real Bed,"{Internet,Wifi,Pool,""Smoking allowed"",Breakfast,Washer,Dryer}",,$348.00,,,,,2,$50.00,1,1125,t,2,91.0,10.0,10.0,8.0,10.0,10.0,8.0,f,flexible,t,3,0.03
