host_response_rate,host_is_superhost,host_total_listings_count,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
100%,f,7.0,-229.762.875.012.061,-4.323.145.352.664.380,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}",,$139.00,,,$0.00,$120.00,2,$25.00,5,89,t,21,90.0,9.0,9.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.3
,f,2.0,-22.925.194.298.131.000,-4.319.118.336.151.660,t,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",,$77.00,$871.00,"$2,516.00",$774.00,$116.00,1,$43.00,2,60,t,12,94.0,9.0,7.0,9.0,10.0,9.0,8.0,f,moderate,t,2,0.16
96%,f,4.0,-2.296.924.906.222.340,-4.318.283.457.669.380,t,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""Hair dryer"",Iron,""Bed linens"",""Extra pillows and blankets""}",,$182.00,"$2,063.00","$7,237.00",$0.00,$97.00,1,$0.00,3,60,t,20,93.0,10.0,8.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,4,0.27
100%,f,5.0,-22.985.487.643.358.000,-4.319.294.505.091.860,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Futon,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""High chair"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",""Handheld shower head""}",,$240.00,"$1,600.00","$6,000.00",$0.00,$0.00,2,$80.00,2,730,t,0,,,,,,,,f,strict_14_with_grace_period,f,4,
100%,f,7.0,-229.826.973.909.695,-4.321.908.031.793.640,t,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",Waterfront,Beachfront}",,$302.00,,,$387.00,$150.00,4,$20.00,2,90,t,48,89.0,9.0,9.0,9.0,9.0,10.0,8.0,f,strict_14_with_grace_period,f,7,0.54
,f,1.0,-22.973.522.022.744.800,-43.382.417.058.065.600,f,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Gym,Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$581.00,"$1,355.00","$5,805.00",$0.00,$0.00,1,$194.00,1,90,t,0,,,,,,,,f,flexible,f,1,
100%,f,1.0,-2.288.756.433.675.860,-435.941.334.568.168,f,Townhouse,Entire home/apt,8,1.0,2.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Dog(s),Cat(s),""Free street parking"",""Family/kid friendly"",""Suitable for events"",""First aid kit"",""Safety card"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Ethernet connection"",""Luggage dropoff allowed""}",,$170.00,$269.00,"$1,090.00",$0.00,$0.00,4,$45.00,1,60,t,7,83.0,9.0,8.0,9.0,9.0,9.0,9.0,f,strict_14_with_grace_period,f,1,0.25
100%,f,3.0,-2.298.386.039.967.810,-4.321.383.479.718.010,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,""Pets live on this property"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Host greets you""}",,$302.00,,,,,1,$0.00,2,90,t,2,70.0,7.0,6.0,10.0,9.0,8.0,7.0,f,strict_14_with_grace_period,f,1,0.13
,f,1.0,-2.294.103.019.897.890,-4.317.617.189.796.830,f,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$426.00,,,,,1,$0.00,2,365,t,38,91.0,8.0,8.0,9.0,10.0,10.0,9.0,f,strict_14_with_grace_period,f,1,0.41
100%,f,7.0,-2.297.700.229.152.730,-43.190.410.197.540.000,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Step-free access"",""Step-free access"",""Step-free access""}",,$159.00,,,$350.00,$130.00,3,$30.00,2,89,t,49,93.0,9.0,9.0,9.0,10.0,10.0,9.0,f,moderate,f,7,0.57
